fdc_id,food_name,carbs_g,protein_g,fat_g,calories
746952,"Ham, sliced, restaurant",2.36,19.6,3.68,121.0
747429,"Cheese, American, restaurant",6.35,17.5,31.1,375.0
747693,"Ketchup, restaurant",26.8,1.11,0.55,117.0
747997,"Eggs, Grade A, Large, egg white",2.36,10.7,0.0,55.0
748236,"Eggs, Grade A, Large, egg yolk",1.02,16.2,28.8,334.0
748967,"Eggs, Grade A, Large, egg whole",0.96,12.4,9.96,148.0
749420,"Pork, cured, bacon, cooked, restaurant",2.1,40.9,36.5,500.0
789890,"Flour, wheat, all-purpose, enriched, bleached",77.3,10.9,1.48,366.0
789951,"Flour, wheat, all-purpose, enriched, unbleached",73.2,13.1,1.48,358.0
790018,"Flour, wheat, all-purpose, unenriched, unbleached",74.6,12.0,1.7,362.0
790085,"Flour, whole wheat, unenriched",71.2,15.1,2.73,370.0
790146,"Flour, bread, white, enriched, unbleached",72.8,14.3,1.65,363.0
790214,"Flour, rice, white, unenriched",79.8,6.94,1.3,359.0
790276,"Flour, corn, yellow, fine meal, enriched",80.8,6.2,1.74,364.0
790577,"Onions, red, raw",9.93,0.94,0.1,44.0
790646,"Onions, yellow, raw",8.61,0.83,0.05,38.0
790774,"Bananas, overripe, raw",20.1,0.73,0.22,85.0
790991,"Bananas, ripe and slightly ripe, raw",23.0,0.74,0.29,97.0
1104647,"Garlic, raw",28.2,6.62,0.38,143.0
1104705,"Flour, soy, defatted",32.9,51.1,3.33,366.0
1104766,"Flour, soy, full-fat",27.9,38.6,20.7,452.0
1104812,"Flour, rice, brown",75.5,7.19,3.85,365.25
1104867,"Flour, rice, glutinous",80.1,6.69,1.16,358.0
1104913,"Flour, pastry, unenriched, unbleached",77.2,8.75,1.64,358.0
1104962,"Onions, white, raw",7.68,0.89,0.13,35.0
1105430,"Apples, red delicious, with skin, raw",14.8,0.19,0.21,62.0
1105547,"Apples, honeycrisp, with skin, raw",14.7,0.1,0.1,60.0
1105664,"Apples, granny smith, with skin, raw",14.2,0.27,0.14,59.0
1105781,"Apples, gala, with skin, raw",14.8,0.13,0.15,61.0
1105897,"Apples, fuji, with skin, raw",15.7,0.15,0.16,65.0
167512,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",41.18,5.88,13.24,307.0
167513,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",53.42,4.34,11.27,330.0
167514,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",79.8,6.1,3.7,377.0
167515,"George Weston Bakeries, Thomas English Muffins",46.0,8.0,1.8,232.0
167516,"Waffles, buttermilk, frozen, ready-to-heat",41.05,6.58,9.22,273.0
167517,"Waffle, buttermilk, frozen, ready-to-heat, toasted",48.39,7.42,9.49,309.0
167518,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",44.16,6.92,9.4,289.0
167519,"Waffle, plain, frozen, ready-to-heat, microwave",45.41,6.71,9.91,298.0
167520,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",64.3,5.1,24.83,501.0
167521,"Pie Crust, Cookie-type, Chocolate, Ready Crust",64.48,6.08,22.42,484.0
167522,"Pie, Dutch Apple, Commercially Prepared",44.54,2.17,11.5,290.0
167523,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",46.79,5.52,28.74,468.0
167524,"Waffles, chocolate chip, frozen, ready-to-heat",45.68,5.8,10.1,297.0
167525,"Tostada shells, corn",64.43,6.15,23.38,474.0
167526,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",47.84,7.12,17.12,374.0
167527,"Bread, pound cake type, pan de torta salvadoran",51.29,7.06,17.45,390.0
167528,"Pastry, Pastelitos de Guava (guava pastries)",47.76,5.48,18.5,379.0
167529,"Crackers, snack, Goya Crackers",64.35,14.25,13.35,433.0
167530,"Crackers, cream, Gamesa Sabrosas",64.55,7.01,20.37,484.0
167531,"Crackers, cream, La Moderna Rikis Cream Crackers",64.88,7.19,19.5,464.0
167532,"Bread, white wheat",43.91,10.66,2.15,238.0
167533,"Bagels, wheat",48.89,10.2,1.53,250.0
167534,"Cream puff, eclair, custard or cream filled, iced",37.43,4.41,18.52,334.0
167535,"Tortillas, ready-to-bake or -fry, flour, shelf stable",49.27,8.01,7.58,297.0
167536,"Snacks, beef jerky, chopped and formed",11.0,33.2,25.6,410.0
167537,"Snacks, corn-based, extruded, chips, plain",57.27,6.17,33.36,539.0
167538,"Snacks, corn-based, extruded, chips, barbecue-flavor",56.2,7.0,32.7,523.0
167539,"Snacks, corn-based, extruded, cones, plain",62.9,5.8,26.9,510.0
167540,"Snacks, fruit leather, pieces",82.82,1.0,2.68,359.0
167541,"Snacks, fruit leather, rolls",85.8,0.1,3.0,371.0
167542,"Snacks, granola bars, hard, plain",64.4,10.1,19.8,471.0
167543,"Snacks, granola bars, hard, almond",62.0,7.7,25.5,495.0
167544,"Snacks, granola bars, soft, uncoated, raisin",66.4,7.6,17.8,448.0
167545,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",63.8,5.8,24.9,466.0
167546,"Candies, honey-combed, with peanut butter",67.41,8.72,20.18,473.0
167547,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",53.4,10.2,31.1,508.0
167548,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",62.2,9.8,20.0,432.0
167549,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",45.06,7.29,43.55,583.0
167550,"Snacks, popcorn, cakes",80.1,9.7,3.1,384.0
167551,"Snacks, popcorn, caramel-coated, with peanuts",80.7,6.4,7.8,400.0
